Effective_date ,S&P_500
1/2/15,2058.2
1/5/15,2020.58
1/6/15,2002.61
1/7/15,2025.9
1/8/15,2062.14
1/9/15,2044.81
1/12/15,2028.26
1/13/15,2023.03
1/14/15,2011.27
1/15/15,1992.67
1/16/15,2019.42
1/20/15,2022.55
1/21/15,2032.12
1/22/15,2063.15
1/23/15,2051.82
1/26/15,2057.09
1/27/15,2029.55
1/28/15,2002.16
1/29/15,2021.25
1/30/15,1994.99
2/2/15,2020.85
2/3/15,2050.03
2/4/15,2041.51
2/5/15,2062.52
2/6/15,2055.47
2/9/15,2046.74
2/10/15,2068.59
2/11/15,2068.53
2/12/15,2088.48
2/13/15,2096.99
2/17/15,2100.34
2/18/15,2099.68
2/19/15,2097.45
2/20/15,2110.3
2/23/15,2109.66
2/24/15,2115.48
2/25/15,2113.86
2/26/15,2110.74
2/27/15,2104.5
3/2/15,2117.39
3/3/15,2107.78
3/4/15,2098.53
3/5/15,2101.04
3/6/15,2071.26
3/9/15,2079.43
3/10/15,2044.16
3/11/15,2040.24
3/12/15,2065.95
3/13/15,2053.4
3/16/15,2081.19
3/17/15,2074.28
3/18/15,2099.5
3/19/15,2089.27
3/20/15,2108.1
3/23/15,2104.42
3/24/15,2091.5
3/25/15,2061.05
3/26/15,2056.15
3/27/15,2061.02
3/30/15,2086.24
3/31/15,2067.89
4/1/15,2059.69
4/2/15,2066.96
4/6/15,2080.62
4/7/15,2076.33
4/8/15,2081.9
4/9/15,2091.18
4/10/15,2102.06
4/13/15,2092.43
4/14/15,2095.84
4/15/15,2106.63
4/16/15,2104.99
4/17/15,2081.18
4/20/15,2100.4
4/21/15,2097.29
4/22/15,2107.96
4/23/15,2112.93
4/24/15,2117.69
4/27/15,2108.92
4/28/15,2114.76
4/29/15,2106.85
4/30/15,2085.51
5/1/15,2108.29
5/4/15,2114.49
5/5/15,2089.46
5/6/15,2080.15
5/7/15,2088.0
5/8/15,2116.1
5/11/15,2105.33
5/12/15,2099.12
5/13/15,2098.48
5/14/15,2121.1
5/15/15,2122.73
5/18/15,2129.2
5/19/15,2127.83
5/20/15,2125.85
5/21/15,2130.82
5/22/15,2126.06
5/26/15,2104.2
5/27/15,2123.48
5/28/15,2120.79
5/29/15,2107.39
6/1/15,2111.73
6/2/15,2109.6
6/3/15,2114.07
6/4/15,2095.84
6/5/15,2092.83
6/8/15,2079.28
6/9/15,2080.15
6/10/15,2105.2
6/11/15,2108.86
6/12/15,2094.11
6/15/15,2084.43
6/16/15,2096.29
6/17/15,2100.44
6/18/15,2121.24
6/19/15,2109.99
6/22/15,2122.85
6/23/15,2124.2
6/24/15,2108.58
6/25/15,2102.31
6/26/15,2101.49
6/29/15,2057.64
6/30/15,2063.11
7/1/15,2077.42
7/2/15,2076.78
7/6/15,2068.76
7/7/15,2081.34
7/8/15,2046.68
7/9/15,2051.31
7/10/15,2076.62
7/13/15,2099.6
7/14/15,2108.95
7/15/15,2107.4
7/16/15,2124.29
7/17/15,2126.64
7/20/15,2128.28
7/21/15,2119.21
7/22/15,2114.15
7/23/15,2102.15
7/24/15,2079.65
7/27/15,2067.64
7/28/15,2093.25
7/29/15,2108.57
7/30/15,2108.63
7/31/15,2103.84
8/3/15,2098.04
8/4/15,2093.32
8/5/15,2099.84
8/6/15,2083.56
8/7/15,2077.57
8/10/15,2104.18
8/11/15,2084.07
8/12/15,2086.05
8/13/15,2083.39
8/14/15,2091.54
8/17/15,2102.44
8/18/15,2096.92
8/19/15,2079.61
8/20/15,2035.73
8/21/15,1970.89
8/24/15,1893.21
8/25/15,1867.61
8/26/15,1940.51
8/27/15,1987.66
8/28/15,1988.87
8/31/15,1972.18
9/1/15,1913.85
9/2/15,1948.86
9/3/15,1951.13
9/4/15,1921.22
9/8/15,1969.41
9/9/15,1942.04
9/10/15,1952.29
9/11/15,1961.05
9/14/15,1953.03
9/15/15,1978.09
9/16/15,1995.31
9/17/15,1990.2
9/18/15,1958.03
9/21/15,1966.97
9/22/15,1942.74
9/23/15,1938.76
9/24/15,1932.24
9/25/15,1931.34
9/28/15,1881.77
9/29/15,1884.09
9/30/15,1920.03
10/1/15,1923.82
10/2/15,1951.36
10/5/15,1987.05
10/6/15,1979.92
10/7/15,1995.83
10/8/15,2013.43
10/9/15,2014.89
10/12/15,2017.46
10/13/15,2003.69
10/14/15,1994.24
10/15/15,2023.86
10/16/15,2033.11
10/19/15,2033.66
10/20/15,2030.77
10/21/15,2018.94
10/22/15,2052.51
10/23/15,2075.15
10/26/15,2071.18
10/27/15,2065.89
10/28/15,2090.35
10/29/15,2089.41
10/30/15,2079.36
11/2/15,2104.05
11/3/15,2109.79
11/4/15,2102.31
11/5/15,2099.93
11/6/15,2099.2
11/9/15,2078.58
11/10/15,2081.72
11/11/15,2075.0
11/12/15,2045.97
11/13/15,2023.04
11/16/15,2053.19
11/17/15,2050.44
11/18/15,2083.58
11/19/15,2081.24
11/20/15,2089.17
11/23/15,2086.59
11/24/15,2089.14
11/25/15,2088.87
11/27/15,2090.11
11/30/15,2080.41
12/1/15,2102.63
12/2/15,2079.51
12/3/15,2049.62
12/4/15,2091.69
12/7/15,2077.07
12/8/15,2063.59
12/9/15,2047.62
12/10/15,2052.23
12/11/15,2012.37
12/14/15,2021.94
12/15/15,2043.41
12/16/15,2073.07
12/17/15,2041.89
12/18/15,2005.55
12/21/15,2021.15
12/22/15,2038.97
12/23/15,2064.29
12/24/15,2060.99
12/28/15,2056.5
12/29/15,2078.36
12/30/15,2063.36
12/31/15,2043.94
1/4/16,2012.66
1/5/16,2016.71
1/6/16,1990.26
1/7/16,1943.09
1/8/16,1922.03
1/11/16,1923.67
1/12/16,1938.68
1/13/16,1890.28
1/14/16,1921.84
1/15/16,1880.33
1/19/16,1881.33
1/20/16,1859.33
1/21/16,1868.99
1/22/16,1906.9
1/25/16,1877.08
1/26/16,1903.63
1/27/16,1882.95
1/28/16,1893.36
1/29/16,1940.24
2/1/16,1939.38
2/2/16,1903.03
2/3/16,1912.53
2/4/16,1915.45
2/5/16,1880.05
2/8/16,1853.44
2/9/16,1852.21
2/10/16,1851.86
2/11/16,1829.08
2/12/16,1864.78
2/16/16,1895.58
2/17/16,1926.82
2/18/16,1917.83
2/19/16,1917.78
2/22/16,1945.5
2/23/16,1921.27
2/24/16,1929.8
2/25/16,1951.7
2/26/16,1948.05
2/29/16,1932.23
3/1/16,1978.35
3/2/16,1986.45
3/3/16,1993.4
3/4/16,1999.99
3/7/16,2001.76
3/8/16,1979.26
3/9/16,1989.26
3/10/16,1989.57
3/11/16,2022.19
3/14/16,2019.64
3/15/16,2015.93
3/16/16,2027.22
3/17/16,2040.59
3/18/16,2049.58
3/21/16,2051.6
3/22/16,2049.8
3/23/16,2036.71
3/24/16,2035.94
3/28/16,2037.05
3/29/16,2055.01
3/30/16,2063.95
3/31/16,2059.74
4/1/16,2072.78
4/4/16,2066.13
4/5/16,2045.17
4/6/16,2066.66
4/7/16,2041.91
4/8/16,2047.6
4/11/16,2041.99
4/12/16,2061.72
4/13/16,2082.42
4/14/16,2082.78
4/15/16,2080.73
4/18/16,2094.34
4/19/16,2100.8
4/20/16,2102.4
4/21/16,2091.48
4/22/16,2091.58
4/25/16,2087.79
4/26/16,2091.7
4/27/16,2095.15
4/28/16,2075.81
4/29/16,2065.3
5/2/16,2081.43
5/3/16,2063.37
5/4/16,2051.12
5/5/16,2050.63
5/6/16,2057.14
5/9/16,2058.69
5/10/16,2084.39
5/11/16,2064.46
5/12/16,2064.11
5/13/16,2046.61
5/16/16,2066.66
5/17/16,2047.21
5/18/16,2047.63
5/19/16,2040.04
5/20/16,2052.32
5/23/16,2048.04
5/24/16,2076.06
5/25/16,2090.54
5/26/16,2090.1
5/27/16,2099.06
5/31/16,2096.96
6/1/16,2099.33
6/2/16,2105.26
6/3/16,2099.13
6/6/16,2109.41
6/7/16,2112.13
6/8/16,2119.12
6/9/16,2115.48
6/10/16,2096.07
6/13/16,2079.06
6/14/16,2075.32
6/15/16,2071.5
6/16/16,2077.99
6/17/16,2071.22
6/20/16,2083.25
6/21/16,2088.9
6/22/16,2085.45
6/23/16,2113.32
6/24/16,2037.41
6/27/16,2000.54
6/28/16,2036.09
6/29/16,2070.77
6/30/16,2098.86
7/1/16,2102.95
7/5/16,2088.55
7/6/16,2099.73
7/7/16,2097.9
7/8/16,2129.9
7/11/16,2137.16
7/12/16,2152.14
7/13/16,2152.43
7/14/16,2163.75
7/15/16,2161.74
7/18/16,2166.89
7/19/16,2163.78
7/20/16,2173.02
7/21/16,2165.17
7/22/16,2175.03
7/25/16,2168.48
7/26/16,2169.18
7/27/16,2166.58
7/28/16,2170.06
7/29/16,2173.6
8/1/16,2170.84
8/2/16,2157.03
8/3/16,2163.79
8/4/16,2164.25
8/5/16,2182.87
8/8/16,2180.89
8/9/16,2181.74
8/10/16,2175.49
8/11/16,2185.79
8/12/16,2184.05
8/15/16,2190.15
8/16/16,2178.15
8/17/16,2182.22
8/18/16,2187.02
8/19/16,2183.87
8/22/16,2182.64
8/23/16,2186.9
8/24/16,2175.44
8/25/16,2172.47
8/26/16,2169.04
8/29/16,2180.38
8/30/16,2176.12
8/31/16,2170.95
9/1/16,2170.86
9/2/16,2179.98
9/6/16,2186.48
9/7/16,2186.16
9/8/16,2181.3
9/9/16,2127.81
9/12/16,2159.04
9/13/16,2127.02
9/14/16,2125.77
9/15/16,2147.26
9/16/16,2139.16
9/19/16,2139.12
9/20/16,2139.76
9/21/16,2163.12
9/22/16,2177.18
9/23/16,2164.69
9/26/16,2146.1
9/27/16,2159.93
9/28/16,2171.37
9/29/16,2151.13
9/30/16,2168.27
10/3/16,2161.2
10/4/16,2150.49
10/5/16,2159.73
10/6/16,2160.77
10/7/16,2153.74
10/10/16,2163.66
10/11/16,2136.73
10/12/16,2139.18
10/13/16,2132.55
10/14/16,2132.98
10/17/16,2126.5
10/18/16,2139.6
10/19/16,2144.29
10/20/16,2141.34
10/21/16,2141.16
10/24/16,2151.33
10/25/16,2143.16
10/26/16,2139.43
10/27/16,2133.04
10/28/16,2126.41
10/31/16,2126.15
11/1/16,2111.72
11/2/16,2097.94
11/3/16,2088.66
11/4/16,2085.18
11/7/16,2131.52
11/8/16,2139.56
11/9/16,2163.26
11/10/16,2167.48
11/11/16,2164.45
11/14/16,2164.2
11/15/16,2180.39
11/16/16,2176.94
11/17/16,2187.12
11/18/16,2181.9
11/21/16,2198.18
11/22/16,2202.94
11/23/16,2204.72
11/25/16,2213.35
11/28/16,2201.72
11/29/16,2204.66
11/30/16,2198.81
12/1/16,2191.08
12/2/16,2191.95
12/5/16,2204.71
12/6/16,2212.23
12/7/16,2241.35
12/8/16,2246.19
12/9/16,2259.53
12/12/16,2256.96
12/13/16,2271.72
12/14/16,2253.28
12/15/16,2262.03
12/16/16,2258.07
12/19/16,2262.53
12/20/16,2270.76
12/21/16,2265.18
12/22/16,2260.96
12/23/16,2263.79
12/27/16,2268.88
12/28/16,2249.92
12/29/16,2249.26
12/30/16,2238.83
1/3/17,2257.83
1/4/17,2270.75
1/5/17,2269.0
1/6/17,2276.98
1/9/17,2268.9
1/10/17,2268.9
1/11/17,2275.32
1/12/17,2270.44
1/13/17,2274.64
1/17/17,2267.89
1/18/17,2271.89
1/19/17,2263.69
1/20/17,2271.31
1/23/17,2265.2
1/24/17,2280.07
1/25/17,2298.37
1/26/17,2296.68
1/27/17,2294.69
1/30/17,2280.9
1/31/17,2278.87
2/1/17,2279.55
2/2/17,2280.85
2/3/17,2297.42
2/6/17,2292.56
2/7/17,2293.08
2/8/17,2294.67
2/9/17,2307.87
2/10/17,2316.1
2/13/17,2328.25
2/14/17,2337.58
2/15/17,2349.25
2/16/17,2347.22
2/17/17,2351.16
2/21/17,2365.38
2/22/17,2362.82
2/23/17,2363.81
2/24/17,2367.34
2/27/17,2369.75
2/28/17,2363.64
3/1/17,2395.96
3/2/17,2381.92
3/3/17,2383.12
3/6/17,2375.31
3/7/17,2368.39
3/8/17,2362.98
3/9/17,2364.87
3/10/17,2372.6
3/13/17,2373.47
3/14/17,2365.45
3/15/17,2385.26
3/16/17,2381.38
3/17/17,2378.25
3/20/17,2373.47
3/21/17,2344.02
3/22/17,2348.45
3/23/17,2345.96
3/24/17,2343.98
3/27/17,2341.59
3/28/17,2358.57
3/29/17,2361.13
3/30/17,2368.06
3/31/17,2362.72
4/3/17,2358.84
4/4/17,2360.16
4/5/17,2352.95
4/6/17,2357.49
4/7/17,2355.54
4/10/17,2357.16
4/11/17,2353.78
4/12/17,2344.93
4/13/17,2328.95
4/17/17,2349.01
4/18/17,2342.19
4/19/17,2338.17
4/20/17,2355.84
4/21/17,2348.69
4/24/17,2374.15
4/25/17,2388.61
4/26/17,2387.45
4/27/17,2388.77
4/28/17,2384.2
5/1/17,2388.33
5/2/17,2391.17
5/3/17,2388.13
5/4/17,2389.52
5/5/17,2399.29
5/8/17,2399.38
5/9/17,2396.92
5/10/17,2399.63
5/11/17,2394.44
5/12/17,2390.9
5/15/17,2402.32
5/16/17,2400.67
5/17/17,2357.03
5/18/17,2365.72
5/19/17,2381.73
5/22/17,2394.02
5/23/17,2398.42
5/24/17,2404.39
5/25/17,2415.07
5/26/17,2415.82
5/30/17,2412.91
5/31/17,2411.8
6/1/17,2430.06
6/2/17,2439.07
6/5/17,2436.1
6/6/17,2429.33
6/7/17,2433.14
6/8/17,2433.79
6/9/17,2431.77
6/12/17,2429.39
6/13/17,2440.35
6/14/17,2437.92
6/15/17,2432.46
6/16/17,2433.15
6/19/17,2453.46
6/20/17,2437.03
6/21/17,2435.61
6/22/17,2434.5
6/23/17,2438.3
6/26/17,2439.07
6/27/17,2419.38
6/28/17,2440.69
6/29/17,2419.7
6/30/17,2423.41
7/3/17,2429.01
7/5/17,2432.54
7/6/17,2409.75
7/7/17,2425.18
7/10/17,2427.43
7/11/17,2425.53
7/12/17,2443.25
7/13/17,2447.83
7/14/17,2459.27
7/17/17,2459.14
7/18/17,2460.61
7/19/17,2473.83
7/20/17,2473.45
7/21/17,2472.54
7/24/17,2469.91
7/25/17,2477.13
7/26/17,2477.83
7/27/17,2475.42
7/28/17,2472.1
7/31/17,2470.3
8/1/17,2476.35
8/2/17,2477.57
8/3/17,2472.16
8/4/17,2476.83
8/7/17,2480.91
8/8/17,2474.92
8/9/17,2474.02
8/10/17,2438.21
8/11/17,2441.32
8/14/17,2465.84
8/15/17,2464.61
8/16/17,2468.11
8/17/17,2430.01
8/18/17,2425.55
8/21/17,2428.37
8/22/17,2452.51
8/23/17,2444.04
8/24/17,2438.97
8/25/17,2443.05
8/28/17,2444.24
8/29/17,2446.3
8/30/17,2457.59
8/31/17,2471.65
9/1/17,2476.55
9/5/17,2457.85
9/6/17,2465.54
9/7/17,2465.1
9/8/17,2461.43
9/11/17,2488.11
9/12/17,2496.48
9/13/17,2498.37
9/14/17,2495.62
9/15/17,2500.23
9/18/17,2503.87
9/19/17,2506.65
9/20/17,2508.24
9/21/17,2500.6
9/22/17,2502.22
9/25/17,2496.66
9/26/17,2496.84
9/27/17,2507.04
9/28/17,2510.06
9/29/17,2519.36
10/2/17,2529.12
10/3/17,2534.58
10/4/17,2537.74
10/5/17,2552.07
10/6/17,2549.33
10/9/17,2544.73
10/10/17,2550.64
10/11/17,2555.24
10/12/17,2550.93
10/13/17,2553.17
10/16/17,2557.64
10/17/17,2559.36
10/18/17,2561.26
10/19/17,2562.1
10/20/17,2575.21
10/23/17,2564.98
10/24/17,2569.13
10/25/17,2557.15
10/26/17,2560.4
10/27/17,2581.07
10/30/17,2572.83
10/31/17,2575.26
11/1/17,2579.36
11/2/17,2579.85
11/3/17,2587.84
11/6/17,2591.13
11/7/17,2590.64
11/8/17,2594.38
11/9/17,2584.62
11/10/17,2582.3
11/13/17,2584.84
11/14/17,2578.87
11/15/17,2564.62
11/16/17,2585.64
11/17/17,2578.85
11/20/17,2582.14
11/21/17,2599.03
11/22/17,2597.08
11/24/17,2602.42
11/27/17,2601.42
11/28/17,2627.04
11/29/17,2626.07
11/30/17,2647.58
12/1/17,2642.22
12/4/17,2639.44
12/5/17,2629.57
12/6/17,2629.27
12/7/17,2636.98
12/8/17,2651.5
12/11/17,2659.99
12/12/17,2664.11
12/13/17,2662.85
12/14/17,2652.01
12/15/17,2675.81
12/18/17,2690.16
12/19/17,2681.47
12/20/17,2679.25
12/21/17,2684.57
12/22/17,2683.34
12/26/17,2680.5
12/27/17,2682.62
12/28/17,2687.54
12/29/17,2673.61
1/2/18,2695.81
1/3/18,2713.06
1/4/18,2723.99
1/5/18,2743.15
1/8/18,2747.71
1/9/18,2751.29
1/10/18,2748.23
1/11/18,2767.56
1/12/18,2786.24
1/16/18,2776.42
1/17/18,2802.56
1/18/18,2798.03
1/19/18,2810.3
1/22/18,2832.97
1/23/18,2839.13
1/24/18,2837.54
1/25/18,2839.25
1/26/18,2872.87
1/29/18,2853.53
1/30/18,2822.43
1/31/18,2823.81
2/1/18,2821.98
2/2/18,2762.13
2/5/18,2648.94
2/6/18,2695.14
2/7/18,2681.66
2/8/18,2581.0
2/9/18,2619.55
2/12/18,2656.0
2/13/18,2662.94
2/14/18,2698.63
2/15/18,2731.2
2/16/18,2732.22
2/20/18,2716.26
2/21/18,2701.33
2/22/18,2703.96
2/23/18,2747.3
2/26/18,2779.6
2/27/18,2744.28
2/28/18,2713.83
3/1/18,2677.67
3/2/18,2691.25
3/5/18,2720.94
3/6/18,2728.12
3/7/18,2726.8
3/8/18,2738.97
3/9/18,2786.57
3/12/18,2783.02
3/13/18,2765.31
3/14/18,2749.48
3/15/18,2747.33
3/16/18,2752.01
3/19/18,2712.92
3/20/18,2716.94
3/21/18,2711.93
3/22/18,2643.69
3/23/18,2588.26
3/26/18,2658.55
3/27/18,2612.62
3/28/18,2605.0
3/29/18,2640.87
4/2/18,2581.88
4/3/18,2614.45
4/4/18,2644.69
4/5/18,2662.84
4/6/18,2604.47
4/9/18,2613.16
4/10/18,2656.87
4/11/18,2642.19
4/12/18,2663.99
4/13/18,2656.3
4/16/18,2677.84
4/17/18,2706.39
4/18/18,2708.64
4/19/18,2693.13
4/20/18,2670.14
4/23/18,2670.29
4/24/18,2634.56
4/25/18,2639.4
4/26/18,2666.94
4/27/18,2669.91
4/30/18,2648.05
5/1/18,2654.8
5/2/18,2635.67
5/3/18,2629.73
5/4/18,2663.42
5/7/18,2672.63
5/8/18,2671.92
5/9/18,2697.79
5/10/18,2723.07
5/11/18,2727.72
5/14/18,2730.13
5/15/18,2711.45
5/16/18,2722.46
5/17/18,2720.13
5/18/18,2712.97
5/21/18,2733.01
5/22/18,2724.44
5/23/18,2733.29
5/24/18,2727.76
5/25/18,2721.33
5/29/18,2689.86
5/30/18,2724.01
5/31/18,2705.27
6/1/18,2734.62
6/4/18,2746.87
6/5/18,2748.8
6/6/18,2772.35
6/7/18,2770.37
6/8/18,2779.03
6/11/18,2782.0
6/12/18,2786.85
6/13/18,2775.63
6/14/18,2782.49
6/15/18,2779.66
6/18/18,2773.75
6/19/18,2762.59
6/20/18,2767.32
6/21/18,2749.76
6/22/18,2754.88
6/25/18,2717.07
6/26/18,2723.06
6/27/18,2699.63
6/28/18,2716.31
6/29/18,2718.37
7/2/18,2726.71
7/3/18,2713.22
7/5/18,2736.61
7/6/18,2759.82
7/9/18,2784.17
7/10/18,2793.84
7/11/18,2774.02
7/12/18,2798.29
7/13/18,2801.31
7/16/18,2798.43
7/17/18,2809.55
7/18/18,2815.62
7/19/18,2804.49
7/20/18,2801.83
7/23/18,2806.98
7/24/18,2820.4
7/25/18,2846.07
7/26/18,2837.44
7/27/18,2818.82
7/30/18,2802.6
7/31/18,2816.29
8/1/18,2813.36
8/2/18,2827.22
8/3/18,2840.35
8/6/18,2850.4
8/7/18,2858.45
8/8/18,2857.7
8/9/18,2853.58
8/10/18,2833.28
8/13/18,2821.93
8/14/18,2839.96
8/15/18,2818.37
8/16/18,2840.69
8/17/18,2850.13
8/20/18,2857.05
8/21/18,2862.96
8/22/18,2861.82
8/23/18,2856.98
8/24/18,2874.69
8/27/18,2896.74
8/28/18,2897.52
8/29/18,2914.04
8/30/18,2901.13
8/31/18,2901.52
9/4/18,2896.72
9/5/18,2888.6
9/6/18,2878.05
9/7/18,2871.68
9/10/18,2877.13
9/11/18,2887.89
9/12/18,2888.92
9/13/18,2904.18
9/14/18,2904.98
9/17/18,2888.8
9/18/18,2904.31
9/19/18,2907.95
9/20/18,2930.75
9/21/18,2929.67
9/24/18,2919.37
9/25/18,2915.56
9/26/18,2905.97
9/27/18,2914.0
9/28/18,2913.98
10/1/18,2924.59
10/2/18,2923.43
10/3/18,2925.51
10/4/18,2901.61
10/5/18,2885.57
10/8/18,2884.43
10/9/18,2880.34
10/10/18,2785.68
10/11/18,2728.37
10/12/18,2767.13
10/15/18,2750.79
10/16/18,2809.92
10/17/18,2809.21
10/18/18,2768.78
10/19/18,2767.78
10/22/18,2755.88
10/23/18,2740.69
10/24/18,2656.1
10/25/18,2705.57
10/26/18,2658.69
10/29/18,2641.25
10/30/18,2682.63
10/31/18,2711.74
11/1/18,2740.37
11/2/18,2723.06
11/5/18,2738.31
11/6/18,2755.45
11/7/18,2813.89
11/8/18,2806.83
11/9/18,2781.01
11/12/18,2726.22
11/13/18,2722.18
11/14/18,2701.58
11/15/18,2730.2
11/16/18,2736.27
11/19/18,2690.73
11/20/18,2641.89
11/21/18,2649.93
11/23/18,2632.56
11/26/18,2673.45
11/27/18,2682.17
11/28/18,2743.79
11/29/18,2737.76
11/30/18,2760.17
12/3/18,2790.37
12/4/18,2700.06
12/6/18,2695.95
12/7/18,2633.08
12/10/18,2637.72
12/11/18,2636.78
12/12/18,2651.07
12/13/18,2650.54
12/14/18,2599.95
12/17/18,2545.94
12/18/18,2546.16
12/19/18,2506.96
12/20/18,2467.42
12/21/18,2416.62
12/24/18,2351.1
12/26/18,2467.7
12/27/18,2488.83
12/28/18,2485.74
12/31/18,2506.85
1/2/19,2510.03
1/3/19,2447.89
1/4/19,2531.94
1/7/19,2549.69
1/8/19,2574.41
1/9/19,2584.96
1/10/19,2596.64
1/11/19,2596.26
1/14/19,2582.61
1/15/19,2610.3
1/16/19,2616.1
1/17/19,2635.96
1/18/19,2670.71
1/22/19,2632.9
1/23/19,2638.7
1/24/19,2642.33
1/25/19,2664.76
1/28/19,2643.85
1/29/19,2640.0
1/30/19,2681.05
1/31/19,2704.1
2/1/19,2706.53
2/4/19,2724.87
2/5/19,2737.7
2/6/19,2731.61
2/7/19,2706.05
2/8/19,2707.88
2/11/19,2709.8
2/12/19,2744.73
2/13/19,2753.03
2/14/19,2745.73
2/15/19,2775.6
2/19/19,2779.76
2/20/19,2784.7
2/21/19,2774.88
2/22/19,2792.67
2/25/19,2796.11
2/26/19,2793.9
2/27/19,2792.38
2/28/19,2784.49
